#	Tc	i	j	k_{i,j}
150	1	3	7.114068668600135738952266994544532747061071953304635879260113439764014363045235441190966821627276812340149007851407945261241093379787796015151070319958819905902907264177249025524142230936595660175929e10
150	1	4	-1.2557176136496936519556657697800147937829896196725780463927695430253156254949057011510398925712392914186255277522544610901270695562799244084201244706788866473724907879723563450558606114004865135308e-16
150	1	5	1.552368878801834309744843306536876137317332285130518199525797443918241000544339988052885807613692368531251170910526889967256703124381653972845676207187902852246750899077670236680942411675090845785e-16
150	2	1	3.12023924950965745282234401758104642319296640141986712720625591367985449307913298516642132816555046433460599459416104933559186757540554035861494311398697198503749668687913734429989620462291539907059e10
150	2	2	-9.77492852186852287314586602350731897479048061542670328285473851446844973706965029384129353490030340042258586802717634668599912118572622694977083020477765792772504764297554364839384933752906771508188e10
150	2	3	1.883016658915209300369317194583103635282376737376459039681509442598325846291532932002071758639388922276979168078442317339468950298630014073732516563392026662959430999807586270135325981097606601003216e11
150	2	4	-1.4340826802489831055498091512674140961183085902239982747394233054401433916969327655940064629260350183732857868803179919193116373649011074037383236669171510189972906386484457181433641657827882516321e-15
150	2	5	2.85520279318898583503304339732892688806120730565901544532140257561147623601404552923933968420240030279731639466391062261634565566189207758255473308472583929648315496719677029807597218193391518741686e-14
150	3	1	1.3896099248753331113656623154614559249464520402692535710800802370713156960704418164754215583990381693570150001581188735261198417045853256600256712192599343322285415241459127897440476731921086366428745e10
150	3	2	6.45176112153457814864779655111379448878864331419717051565509385967862741177280870517642422077384584435138161727484950980132442326337223102400581782566546234875320789590448928265442946132673775700379e10
150	3	3	-2.594423525775228048360453544943146444713970207130627780781623087174445752506892549508973479784428633358760226275094498494659558718334142421890679378696520334882850267952442039763372038592606920075468e11
150	3	4	1.0121308619567150399132193029873969510129691321320904193320064013894142019089635662193733014259264993399935387554876791246961529180011643251151683798058705915910648719925009047030804663633259527552e-15
150	3	5	3.85945839260763661271635366648851069848741638475726803853271620053644857400413641370794881101461326991676620284882935414011510982593916119489568474408327413467019639850690774505205336938096913353431e-14
150	4	1	-3.2342556700604074042191777961051637668622612226181558257036339884456149239760843157461754970917941282034640955500870994452951681229788505569341332149518289149884240229428660818797063910975036911605e-6
150	4	2	-0.000023418067853751202372393369532188230708008277985342277953398057817761080199284742069176315456470624073152322108757126106149915668817904566364417316199858395950747716616285558912535514416488519021857
150	4	3	0.000290949392671223414253536738554768101458436806618070000807743209075831291978042976143214326801555416364020739605551412877589635159451558090683297958946718273445241854009103290550632223548990394154958
150	4	4	-5.288106955950957403207995734050520925737815989619255795323038937923761130816005883266463517708819860141365076455026447374803234311796721538806836732450933610833248955661772932911961543423917740072882e10
150	4	5	2.527547837652150332601192089390113155513599638668362654019077744075261241412096702738495757272985348458265274802565239100280120142160393975722833451415675496350590255777033479320611473279339811265195e11
150	5	1	3.9620030622429831326421427073647854058063706423691383559357672777858846579525950643973258817492764779786791329578232336828233286640584789601457891305108575610518665000360445949166597727325838007223e-6
150	5	2	0.000023198070093368754799258682875948661899521758825969233794232298230458114146699776085158583754251450958525924705380428469791155319883483443637726497197099985302356139959092281987118517939647650757928
150	5	3	0.00022646019829386714469993581007267426905688060361198997103924787453150748852585525505977044981418573477464216704435675965728502914612677277048483535390745443964146570917433684352467324237263254721188
150	5	4	5.288106955950957403207995788802878891461559072834898321124901386287603136732571887935849353034895093887342025428741523098048051827276811544382727095270073863626800902178546350828870757771402285390927e10
150	5	5	-2.527547837652150332601192762408600613977678723352912342299712536254962568170963287676170815983707350820799557584300568415329760081671316160247399064748927403856121973664492567419857440861227280710669e11
200	1	1	-8.617069250284902536413915551246433474928361999754911730898049797097819368244213175396898182609986992927901214165246624785887813577243844683013683553220671412596982212381071143841420126434876634966997e10
200	1	2	4.18661808361103101188065173683030648141685962487614042248623444530379112400566949238308276051068883936090137661935525175001020592864956151900408486855961265963424120581763977262878292602070359811797e10
200	1	3	1.593225968741162338232044962594239208571936112012052707182337123585714249639658028203680018664395543638785139040897400337307856418571129135007816199492320791770242392034880426418214990397630119844394e11
200	1	4	-1.7141189470054185118449466369257217338479205495099367745276876311089086386126967522161430001983877443711783928195408826284346115590382551922866309015037476434942105557855962492515805252026214448739e-13
200	1	5	7.623302345091532482964056873031375452317034632451454635090477133578040739378047289689151964735092155876987224316535847439143959330864686649591606423644328303389957496563169309076476225295663464296e-13
200	2	1	6.224358933917985483608128557975996640359394207404532806974676304943670061294298193521299851510185951968290697518526107212272793414250238566299255034416833257213898477633877669486166249642985763946932e10
200	2	2	-1.18754377042186254251133015787763884736094602871630628950098969961341020457403276872352910634447395517602114332827495626724654891284498140704912238173279078173263011712617554168604840279789994174289e11
200	2	3	2.10939841971461853037657087350285380700695200035346974267287114123224668842407911470351420711436291630812792630995196183278234694576346575027616142682253458695010938514472242918449931123119584477626e11
200	2	4	1.365343908101571706965204609421040868356228129134867921993678934261423404089473743178927722976111093459103804172475410488454235398124477629509624319209679566246067216166507553400994136423121440187e-13
200	2	5	7.8676671332343821387128119542607505294172246846393985348529685614118095148366990765899060622946455698437424002579913287771925236998142458267398098331727878656205336734387972068870763497532335034748e-12
200	3	1	2.392710316366947036284712459918137504897305931952516013817427644450740057301566969857564244554872597353856886212367395365009436498771931005161112081351382857058630403356235459144196175028500588372102e10
