12	5	2.3396887037775297683262338758196196821365885148408945930154764380902106066935501908484529179280358515777662087400204144335558304119036900911081808972980899581972613617310702267281343883805610119042494e9
12	6	2.4405257743428180648684625209958768551536014457028756700088532626671714819579573009451365162343782621714374557482879940033147874632387668941187947797602963171023198642868400773652206536816690263574907e10
12	10	3.0663956404169925331196143128293714206381866034837570060443330187315793044249617381938180348736467455888691935162939327421235753202417531373820855201915667889252778414625418257151023643015322512984318e11
12	11	5.5346360303908419949976104623709052864290435408155393271597706406689316174271120469061446444022005433559476307897423308046818667493910028790955143649247033288725847259862070574959778103632151987600262e10
13	14	8.6507904810890676224620595295724311690685231875712919936862185565054950451894385710609885825412480739002773634163523461405714003730673822979302831976157223880501073398239050622278668739458315485869487e10
13	15	1.6904638393348281340268816318520931823880244557226995228588326828486000760906851015407568593264722408452909246162285522386183014666888500841239663870186811943474034349448642195151796441792210937279538e11
13	20	7.146195571521235233980697281592388025015803982738019060966121912522412953457140929597113310145189538759862820001961911556957932617340679415672468320896741621282830377717894412142847275039832322202287e9
14	13	1.122543169256859627476175500077708127748931328537045165735559511141189380023457237821464611483946852249674887544239249939234723731295515380618236836331262801968663639759307779169702918829066251603473e11
14	16	8.9788287329113162610785822593340760796039379129035832521614475898458741012256090829037352430968409479429006237693010193062219679890412129231804949761163405344253104678900745420659637372934240555031188e10
14	17	2.1134367211676934039978854236791868753581740317912573064444773249953449380134267348324088879706427587328635313794037677274695195074417225276343174831317816631558082065912850446626963822900343917322751e11
14	21	2.1523243886413258301853694240804710914152748887235694435494043649077804500890796641088277421928797045459261572131326793884433754822647623200359598060940013598389671312119656414024085086806221784242653e10
15	13	3.4116026600017620533065219881438307462047897963918793424644173419807025781962656488466822722133260131326088343680741276483665719930284137046532496628767477780925341518739385858469645768573131837063701e10
15	16	7.9903642831486037087134735936302663693345677541683042845949301854935993687700250084316761982150689303624420340000665690168327764730363168069807585539777354144357892369294899968636398425851801979356416e9
15	17	1.961830405208093921207022540813207193473867028109024706330920872459345080953001866516372451712733670430123234976658160801305978933994429404352952079209341310520691439970625901701266667534905667777126e11
15	18	6.9413926629559440790104862154959880433381949910173044674242112151744070226906464197629522558767177245179102385745847822941899539600182620050733077102817757007385267561996299222756472329020024813498214e9
16	4	1.0210390286646731533851219707312322277412936778018185055090456267287432506950267263172759344362748095315902809259926749082800286790031418118664509352483969776956391713908667673984177329124075173044292e-23
16	14	2.1826882808801877926024298249558792365662065938424498429336543433554094643025287714290523349263345945685355564880466265977119508313209114143613623851593000796851031793857933984235224934778498492454259e10
16	15	1.2489162232446696831536244938815525938296247254489860931251695256223624134056373857799227969859391053919538228072127131036108358143038476121962975180414741582822325358498276638873190359224071598003906e10
16	17	6.4551459829311583743524875390481056853816054976084813571278733945062176503083539955337615929259644463107519620733350555362261903478179246192234423194197627132012078224417508783300684524826877138295377e11
